Id,modularity_class,strength
adc,2,8291
vb,2,8266
powergener,2,8240
obc,2,7462
kw,2,7289
dctodc,2,7229
switchov,2,7222
minu,2,7170
fieldeffect,2,7035
normallyclos,2,6938
zener,2,6935
overtemperatur,2,6918
,2,6880
momentari,2,6750
stray,2,6713
constantcurr,2,6678
highsid,2,6677
khz,2,6659
currentdirect,2,6615
reed,2,6512
highcurr,2,6320
fm,2,6281
adder,2,6270
fusibl,2,6160
convertor,2,6104
emc,2,5818
hbridg,2,5766
lowsid,2,5672
reconnect,2,5594
va,2,5586
rush,2,5534
largecurr,2,5467
on,2,5424
ig,2,5397
vm,2,5381
chop,2,5295
highlevel,2,5283
emf,2,5147
km,2,5139
iq,2,5119
buckboost,2,5092
vc,2,5089
ct,2,4997
kv,2,4977
uncontrol,2,4765
mhz,2,4762
normallyopen,2,4717
variablefrequ,2,4676
currentlimit,2,4548
voltmet,2,4519
parallelconnect,2,4499
vin,2,4420
voltagestabil,2,4420
constantvoltag,2,4346
sd,2,4345
ammet,2,4237
momentarili,2,4212
gnd,2,4185
quadratur,2,4128
analogdigit,2,4115
lin,2,3886
pl,2,3861
multiport,2,3745
subcircuit,2,3677
rom,2,3630
primarysid,2,3550
amper,2,3505
secondarysid,2,3497
dq,2,3461
currentvoltag,2,3455
magnetoelectr,2,3447
watt,2,3444
vh,2,3423
threelevel,2,3401
vcc,2,3335
inrush,2,3268
phaseshift,2,3203
voltagecurr,2,3200
contactlessli,2,3180
abruptli,2,3138
switchoff,2,3138
reactanc,2,3125
lowlevel,2,3007
magneto,2,2997
llc,2,2905
flyback,2,2899
switchon,2,2878
commonmod,2,2876
subsidiari,2,2824
shorttim,2,2796
vd,2,2708
quiescent,2,2664
nphase,2,2655
powerreceiv,2,2649
droop,2,2634
ldc,2,2533
singlestag,2,2435
spi,2,2384
ls,2,2270
zerocross,2,2251
vl,2,2246
pullup,2,2215
lv,2,2208
subbatteri,2,2197
vt,2,2107
cv,2,2057
amperag,2,1934
vo,2,1882
nonpow,2,1872
nchannel,2,1869
inphas,2,1868
vdc,2,1862
timedelay,2,1842
bt,2,1817
microprogram,2,1788
uphas,2,1771
dclink,2,1714
uniti,2,1599
overmodul,2,1586
fullwav,2,1555
flipflop,2,1464
snubber,2,1409
switcher,2,1377
amp,2,1372
squib,2,1350
vphase,2,1343
bootstrap,2,1320
switchgear,2,1316
wphase,2,1276
pulldown,2,1252
switchingoff,2,1242
powertransmit,2,1232
optocoupl,2,1216
digitaltoanalog,2,1189
fs,2,1154
lm,2,1144
actodc,2,1138
intertermin,2,1120
disconnector,2,1068
vvvf,2,1065
multivibr,2,1051
pchannel,2,1051
inverterintegr,2,1042
dctoac,2,1027
multivoltag,2,1020
vref,2,1015
outputt,2,1005
antiparallel,2,980
noninvert,2,976
ontim,2,969
vout,2,903
watchdog,2,874
fft,2,849
nonisol,2,847
pulsewidthmodul,2,840
switchingon,2,818
apow,2,794
directaxi,2,736
vac,2,727
highpotenti,2,706
mediumvoltag,2,687
voltagecontrol,2,642
zerovoltag,2,637
dcv,2,636
suppliabl,2,634
wout,2,601
nmo,2,586
quadratureaxi,2,576
npn,2,573
circuitbreak,2,569
monost,2,555
positivesid,2,539
vq,2,537
negativesid,2,529
iu,2,527
pll,2,525
smr,2,523
hj,2,523
reversingswitch,2,476
zv,2,469
lowcurr,2,465
ry,2,439
antirevers,2,399
voltageregul,2,398
iw,2,380
vdd,2,364
lowpotenti,2,349
ipt,2,348
selfreson,2,342
metaloxidesemiconductor,2,308
supplydemand,2,291
lowerarm,2,175
insulatedg,2,173
switchedmod,2,162
iref,2,135
switchedon,2,120
currentaltern,2,119
imax,2,115
upperarm,2,115
dac,2,112
softswitch,2,105
voltagedivid,2,103
wheatston,2,81
hertz,2,71
currenttodirect,2,57
watchtyp,2,56
acac,2,54
tpc,2,54
helmholtz,2,53
gatesourc,2,53
supplysid,2,52
switchmod,2,51
nanosecond,2,50
purpos,3,1116127
constitut,3,942767
compos,3,717142
numer,3,120099
aa,3,25466
bb,3,17599
dd,3,15910
ff,3,12538
ee,3,4029
gg,3,4008
hh,3,1420
titl,3,1016
jp,3,925
degc,3,604
motor,4,9501308
drive,4,9356128
rotat,4,6492841
mechan,4,5156440
wheel,4,4517789
shaft,4,3945177
transmiss,4,3930924
speed,4,3823098
forc,4,2787174
gear,4,2507665
driven,4,2434830
brake,4,2430487
torqu,4,2140028
engag,4,1830586
steer,4,1753070
hybrid,4,1737966
ring,4,1187413
clutch,4,1152368
variabl,4,1144802
acceler,4,1104523
reduct,4,981756
shift,4,956827
rotari,4,923930
axl,4,904054
assist,4,900467
revers,4,861621
train,4,834321
carrier,4,820290
forward,4,796686
pedal,4,749382
differenti,4,701559
synchron,4,627843
friction,4,605646
traction,4,510209
hub,4,505568
mesh,4,430580
deceler,4,378609
planetari,4,370074
coaxial,4,367945
disengag,4,311913
angular,4,304788
slip,4,295222
gearbox,4,286971
neutral,4,264206
cam,4,258697
pulley,4,256697
sun,4,253991
regen,4,252872
tooth,4,251701
half,4,227910
teeth,4,227265
drum,4,208636
crank,4,201585
powertrain,4,194918
feel,4,192658
pinion,4,192360
exert,4,189587
electromechan,4,186150
backward,4,182650
torsion,4,181002
starter,4,174955
disk,4,171279
highspe,4,169431
servo,4,162851
crankshaft,4,157756
spindl,4,151277
worm,4,142225
centrifug,4,140487
oneway,4,138395
planet,4,128320
inertia,4,123161
fourwheel,4,118889
flywheel,4,118334
revolut,4,116128
impart,4,112048
eccentr,4,106335
decoupl,4,106141
motorgener,4,104135
climb,4,103935
mover,4,96376
six,4,94572
prime,4,92769
motiv,4,88698
selector,4,86720
lowspe,4,83589
bevel,4,79695
drivabl,4,76301
five,4,76292
motordriven,4,76060
electromot,4,72283
powerassist,4,71330
spline,4,68461
steerabl,4,64160
ratchet,4,57956
calip,4,57673
multistag,4,57133
drivetrain,4,55476
rpm,4,54784
sprocket,4,52438
revolv,4,51701
spin,4,50826
drivingli,4,50383
sector,4,49828
endless,4,49206
drivelin,4,48877
effort,4,43993
race,4,43571
antilock,4,39366
skid,4,39213
em,4,39110
kinemat,4,37835
idler,4,36990
constantli,4,35751
gearshift,4,34902
eight,4,33012
freewheel,4,31499
journal,4,31235
overrun,4,31033
twostag,4,31007
counteract,4,30836
coast,4,30782
hev,4,30686
downhil,4,30637
camshaft,4,30480
spoke,4,29080
downshift,4,28017
knuckl,4,27952
tandem,4,26744
gearset,4,26518
cvt,4,26302
dog,4,26287
ep,4,25868
clockwis,4,25525
preload,4,25003
shifter,4,24809
inwheel,4,24773
governor,4,24659
hydrostat,4,24650
offroad,4,24143
crown,4,23952
exercis,4,23386
multispe,4,23356
stepless,4,22719
changer,4,22556
st,4,22113
twogear,4,21653
driveshaft,4,21363
lockup,4,21067
electricallydriven,4,20737
upshift,4,20575
electromotor,4,19889
dynamomet,4,19839
steerbywir,4,19669
nonrotat,4,19632
dualmotor,4,19629
creep,4,19504
infinit,4,19287
uncoupl,4,18828
servomotor,4,18115
variablespe,4,18044
firststag,4,17814
spur,4,17497
retreat,4,16981
epicycl,4,16753
gearwheel,4,15992
doublemotor,4,15661
shiftabl,4,15036
torquetransmit,4,14979
momentum,4,14856
caster,4,14506
downsiz,4,14143
gravit,4,13997
uphil,4,13912
secondstag,4,13779
changespe,4,13380
discomfort,4,13372
countershaft,4,13358
hill,4,12927
slippag,4,12903
recuper,4,12815
hydrodynam,4,12688
transaxl,4,12040
bh,4,11750
tractiv,4,11696
ne,4,11505
sprung,4,11299
flank,4,11233
bike,4,11180
standstil,4,11049
nonrot,4,11025
sheav,4,10936
tc,4,10920
pto,4,10877
driveabl,4,10417
abrupt,4,10347
unsprung,4,10164
twospe,4,9912
selfbalanc,4,9657
isg,4,9651
uncomfort,4,9524
seven,4,9486
fourwheeldr,4,9358
accelerationdeceler,4,9344
backlash,4,9253
multigear,4,9050
rearwheel,4,8894
lobe,4,8700
derailleur,4,8452
heavyduti,4,8348
frontwheel,4,8171
stepwis,4,8106
cog,4,8064
annulu,4,8038
overspe,4,7968
superposit,4,7818
firstgear,4,7803
antislip,4,7750
anticlockwis,4,7726
speedchang,4,7508
secondgear,4,7505
brakebywir,4,7480
enginedriven,4,7351
conjoint,4,7255
manoeuvr,4,7224
speedomet,4,7068
nine,4,7034
amt,4,6946
allelectr,4,6930
slower,4,6929
counterrot,4,6928
counterclockwis,4,6865
rot,4,6825
motorsolut,4,6800
allwheel,4,6783
righthand,4,6603
esp,4,6602
semi,4,6493
nondriv,4,6464
unison,4,6379
startergener,4,6155
wheelsid,4,6038
lefthand,4,6004
tcu,4,5790
crawl,4,5750
electricmotor,4,5670
quiet,4,5658
drivebywir,4,5434
rectilinear,4,5433
stub,4,5428
odd,4,5153
powerdriven,4,5128
constantspe,4,5091
coaxi,4,5077
selfalign,4,5037
smoother,4,5028
hcu,4,4892
epb,4,4888
kmh,4,4873
formfit,4,4795
dualpow,4,4783
prestress,4,4764
reengag,4,4688
outputsid,4,4650
handwheel,4,4647
antirot,4,4584
evt,4,4521
pg,4,4501
electrodynam,4,4447
gw,4,4349
rattl,4,4246
intermesh,4,4204
singlemotor,4,4167
omega,4,4161
gb,4,3955
epaxi,4,3941
steep,4,3927
directdr,4,3841
largetorqu,4,3831
subtransmiss,4,3776
toe,4,3723
lowcont,4,3620
mt,4,3594
motoris,4,3588
pumpmotor,4,3582
wheelbas,4,3574
tachomet,4,3531
dualclutch,4,3522
electrichydraul,4,3499
sideslip,4,3486
handoper,4,3439
powersplit,4,3430
esc,4,3389
generatormotor,4,3189
spider,4,3186
torquetransf,4,3168
synchronis,4,3146
jerk,4,3017
castor,4,2914
wd,4,2908
fixabl,4,2903
reardriv,4,2878
immov,4,2860
shiftbywir,4,2859
skateboard,4,2851
inputsid,4,2834
unpow,4,2765
horsepow,4,2719
multistep,4,2716
threadabl,4,2701
singli,4,2696
caterpillar,4,2663
overdr,4,2600
phaser,4,2549
threestag,4,2463
trunnion,4,2426
overst,4,2417
rake,4,2365
dieselelectr,4,2336
stepper,4,2299
threegear,4,2285
slipperi,4,2282
pushrod,4,2273
cardan,4,2171
connectiondisconnect,4,2095
tappet,4,2082
forwardbackward,4,2027
underst,4,2023
hydromechan,4,2018
connectingdisconnect,4,1978
doubleclutch,4,1963
eng,4,1960
layshaft,4,1944
vbelt,4,1941
powershift,4,1928
speedreduc,4,1881
dualdriv,4,1864
mdp,4,1820
wr,4,1819
singlewheel,4,1777
steeringwheel,4,1755
wheelset,4,1725
drivensid,4,1596
gwa,4,1586
rideon,4,1572
gearchang,4,1538
rotatingli,4,1525
brakingdriv,4,1521
clockwork,4,1509
forwardrevers,4,1472
multimotor,4,1459
handicap,4,1444
screwthread,4,1429
multiwheel,4,1409
continuouslyvari,4,1393
corot,4,1369
rackandpinion,4,1357
speedregul,4,1348
incongru,4,1328
meshingli,4,1301
nondriven,4,1257
labyrinth,4,1250
recoil,4,1221
rw,4,1202
frontdriv,4,1187
dct,4,1181
wobbl,4,1170
stepvari,4,1138
drivecontrol,4,1095
belttyp,4,1087
cycloid,4,1065
toqu,4,1061
drivesid,4,1048
interaxl,4,1037
jackshaft,4,1034
motorassist,4,1033
declutch,4,1032
motorpump,4,1016
pmsm,4,1013
antifrict,4,1005
multiaxl,4,1002
tiller,4,993
hsg,4,965
translatori,4,952
hightorqu,4,943
tref,4,928
sat,4,923
kickdown,4,913
motoroper,4,898
bk,4,896
vehiclespe,4,858
nonsteer,4,843
petrolelectr,4,826
motorsid,4,825
thedriv,4,817
lowgear,4,806
powerst,4,805
mechanismsolut,4,799
nonbrak,4,796
powertransmiss,4,792
bull,4,783
halfshaft,4,739
assistcontrol,4,736
offgo,4,727
counterelectromot,4,704
hybridpow,4,699
shiftdown,4,691
synchromesh,4,685
hst,4,662
doubledr,4,650
driveconnect,4,605
straightahead,4,601
highgear,4,601
thirdgear,4,583
twotrack,4,579
sprag,4,543
fourgear,4,535
thirdstag,4,535
wheelspecif,4,527
adriv,4,527
nonengag,4,493
engagementdisengag,4,489
kart,4,482
drivingwheel,4,473
wormwheel,4,445
ecvt,4,410
idli,4,404
callip,4,391
gradeabl,4,387
transmissionsid,4,385
oneped,4,373
speedcontrol,4,367
drivingmotor,4,350
steplessli,4,344
wheeldriv,4,328
multiratio,4,312
drivingsid,4,308
rearaxl,4,303
hybriddr,4,300
rotatingshaft,4,295
backdriv,4,287
wheelhub,4,259
ravigneaux,4,245
threespe,4,239
brakingforc,4,236
doublespe,4,236
allwheeldr,4,231
leadscrew,4,230
multidisc,4,229
forecarriag,4,228
speedtorqu,4,219
centripet,4,192
traine,4,180
selfenerg,4,178
dirig,4,166
hypoid,4,155
nontransmiss,4,125
parkingbrak,4,120
wheelmount,4,115
motordriv,4,62
handsoff,4,54
troll,4,53
contrarot,4,52
ivt,4,50
fivephas,4,50
electricallyvari,4,50
facilit,5,1073962
invent,5,11428469
relat,5,10001964
particular,5,2082824
particularli,5,1203474
cl,5,124518
dwg,5,112070
concept,5,50774
exclus,5,50019
virtu,5,42529
primarili,5,35027
costeffect,5,17422
domest,5,16512
investig,5,13398
socal,5,9212
inconsist,5,9099
thereofth,5,7458
optimis,5,7100
methodth,5,6033
notabl,5,5255
mother,5,3941
meteorolog,5,3934
electriccontrol,5,3651
transportationsubst,5,3633
jitter,5,3623
idea,5,3492
preestablish,5,3358
buildingsubst,5,3183
multisourc,5,3152
thought,5,2978
ton,5,2788
engineeringsubst,5,2610
thank,5,2575
summar,5,2441
whereinth,5,2376
secondarili,5,2356
systemth,5,2273
vehicle,5,2183
plateau,5,2163
energyeffici,5,2093
transportsubst,5,2088
preconstruct,5,2086
masterslav,5,1946
selfadjust,5,1926
strictli,5,1733
electricitysubst,5,1732
userfriendli,5,1588
burr,5,1579
binocular,5,1551
novelti,5,1478
pureelectr,5,1478
sv,5,1427
prejudg,5,1402
creativ,5,1370
stepbystep,5,1312
authoris,5,1309
credibl,5,1264
deviceth,5,1226
dm,5,1160
toa,5,1106
harmoni,5,956
essenc,5,954
traceabl,5,925
meant,5,896
informat,5,750
unqualifi,5,749
favour,5,736
endow,5,697
dg,5,556
themethod,5,457
achieved,5,388
theinvent,5,342
surpris,5,309
equipmentsubst,5,280
relaps,5,276
widespread,5,238
matlab,5,206
lactat,5,162
signal,6,5713832
detect,6,5591472
sensor,6,4579740
measur,6,2407910
sens,6,1340959
detector,6,654024
failur,6,522951
fault,6,515521
alarm,6,505436
warn,6,482227
sound,6,446160
sampl,6,412637
presenc,6,366338
occup,6,338926
sensit,6,256263
passiv,6,190731
fail,6,174612
transduc,6,165552
acoust,6,140293
earli,6,139248
vicin,6,138819
piezoelectr,6,136622
microprocessor,6,131322
probe,6,129140
ultrason,6,110712
absenc,6,96021
malfunct,6,88546
foreign,6,83672
inerti,6,74080
gaug,6,70251
distinguish,6,65323
horn,6,63099
loudspeak,6,60070
resolv,6,59758
audibl,6,55432
discrimin,6,46583
attent,6,44917
gyroscop,6,39823
acceleromet,6,33022
examin,6,30044
drift,6,29925
fals,6,29290
buzzer,6,27937
ear,6,23673
correctli,6,23075
failsaf,6,22907
tone,6,19377
true,6,18124
intrus,6,17736
faulti,6,16779
notic,6,15624
gyro,6,14472
echo,6,10771
memor,6,10037
sa,6,9903
timevari,6,9254
exactli,6,9179
nondestruct,6,8423
beat,6,7983
unsaf,6,7104
immin,6,6946
countermeasur,6,5986
unbal,6,5658
compass,6,5649
magnetostrict,6,5468
plot,6,5355
magnetoresist,6,4907
exact,6,4780
intrud,6,4638
burglar,6,4530
sonar,6,4372
faulttoler,6,4258
imu,6,4228
incorrect,6,4184
magnetomet,6,3800
bandpass,6,3614
spectromet,6,3425
ccd,6,3364
antipinch,6,3242
rainfal,6,3158
selfcheck,6,3059
flaw,6,3027
ignor,6,3025
selfdiagnosi,6,2925
unoccupi,6,2910
piezo,6,2604
plausibl,6,2538
dsc,6,2499
multisensor,6,2405
threeaxi,6,2315
drivesens,6,2294
presenceabs,6,2197
acoustoopt,6,2193
triangul,6,2093
cosin,6,2054
geomagnet,6,1985
noisi,6,1929
respir,6,1866
siren,6,1852
annunci,6,1770
signaltonois,6,1767
electroacoust,6,1730
sampler,6,1597
scintil,6,1577
geophys,6,1345
await,6,1325
soundlight,6,1324
selftest,6,1240
loud,6,1233
multispectr,6,1117
insensit,6,1049
sin,6,988
earlywarn,6,877
gage,6,859
pyroelectr,6,765
piezoresist,6,689
undetect,6,617
selfcalibr,6,445
corioli,6,391
raindrop,6,364
cbr,6,275
multiantenna,6,241
sensorequip,6,235
heard,6,231
calorimet,6,214
nondetect,6,189
fod,6,187
spuriou,6,179
frequencymodul,6,168
halleffect,6,126
papr,6,112
magnetoelast,6,105
heterodyn,6,66
senor,6,63
signalprocess,6,60
preamplifi,6,59
reverber,6,50
collect,7,1414713
agricultur,7,210975
harvest,7,112456
crop,7,56908
farm,7,17313
weed,7,5476
thresh,7,253
forag,7,110
control,8,17695699
closedloop,8,47356
forcibl,8,34656
impos,8,32818
remotecontrol,8,12620
halt,8,11956
instabl,8,11771
af,8,11420
paus,8,8762
openloop,8,7928
arbitrarili,8,5296
beforehand,8,4967
supervisori,8,4476
succeed,8,4236
hunt,8,3412
mpc,8,3277
fb,8,2943
ecm,8,2779
bcm,8,2758
tp,8,2540
upperlimit,8,2188
highload,8,2184
subcontrol,8,1992
proportion,8,1919
thecontrol,8,1882
hvecu,8,1796
dt,8,1617
presum,8,1612
affirm,8,1527
derat,8,1523
subordin,8,1319
executor,8,1273
turningon,8,1249
feedbackcontrol,8,1052
certainti,8,965
vf,8,943
ref,8,927
nonenerg,8,863
lowload,8,839
norm,8,771
electronicallycontrol,8,764
turningoff,8,682
tillag,8,675
awak,8,652
commensur,8,626
agc,8,610
autostop,8,606
nonmechan,8,596
motorcontrol,8,521
controlunit,8,491
lowerlimit,8,485
remotelycontrol,8,473
preparatori,8,465
hi,8,464
hillhold,8,451
multicopt,8,404
strang,8,396
nv,8,392
mpu,8,390
uc,8,385
resumpt,8,367
vw,8,359
fieldori,8,352
autostart,8,346
reacceler,8,332
swashplat,8,307
subtractor,8,306
tipin,8,304
herbicid,8,300
bcu,8,300
com,8,294
elabor,8,293
tcm,8,289
postpon,8,288
vmax,8,277
fcu,8,265
controlmodul,8,252
increasedecreas,8,232
carburettor,8,231
sbw,8,230
dqaxi,8,227
andcontrol,8,223
servoassist,8,222
pw,8,217
hybridvehicl,8,214
limphom,8,214
radiocontrol,8,205
precontrol,8,204
fieldweaken,8,198
activationdeactiv,8,186
turnedon,8,184
vsp,8,184
vu,8,178
qa,8,178
begun,8,177
readhes,8,170
woken,8,170
incapacit,8,169
pressureincreas,8,169
nontravel,8,168
predriv,8,168
kp,8,164
hydraulicallyoper,8,160
microprocessorbas,8,134
servomechan,8,124
phasecontrol,8,117
servocontrol,8,116
increasingdecreas,8,115
backemf,8,115
foc,8,113
dab,8,112
poststag,8,109
transitori,8,108
undershoot,8,106
intakeair,8,105
highord,8,105
tcc,8,104
turnedoff,8,103
shiftup,8,102
currentcontrol,8,101
trq,8,101
prestag,8,60
svpwm,8,60
lightcontrol,8,59
shortfal,8,59
deadtim,8,58
compensatori,8,56
acceleratorped,8,54
isc,8,53
asc,8,53
hs,8,52
electrovalv,8,52
nondifferenti,8,52
pwmcontrol,8,51
superordin,8,51
kl,8,51
enginestop,8,51
if,8,50
onduti,8,50
instructor,8,50
nonsynchron,8,50
time,9,5687097
state,9,4346833
condit,9,3840596
valu,9,3730747
obtain,9,3176549
step,9,2945637
predetermin,9,2535469
start,9,2106079
result,9,1961098
amount,9,1949417
calcul,9,1907611
follow,9,1889108
target,9,1867557
compar,9,1626542
rate,9,1581941
stop,9,1557986
period,9,1278228
threshold,9,1266926
refer,9,1228006
equal,9,1208138
basi,9,1168159
greater,9,1073702
optim,9,1052971
initi,9,984725
quantiti,9,970281
reach,9,911789
maximum,9,851595
estim,9,850448
accur,9,763676
preset,9,754047
actual,9,724209
smaller,9,708417
correct,9,667664
real,9,652139
larger,9,644663
remain,9,601591
becom,9,596449
judg,9,568680
demand,9,558939
compens,9,483943
final,9,457390
accuraci,9,453917
abnorm,9,450435
given,9,433306
factor,9,430407
exce,9,416767
minimum,9,416200
variat,9,387686
error,9,363248
relationship,9,362447
comparison,9,353859
ecu,9,352476
moment,9,339521
deviat,9,322208
zero,9,316726
strategi,9,311664
coeffici,9,310165
proport,9,308997
delay,9,307163
veloc,9,305559
residu,9,297025
next,9,289035
consid,9,279594
exceed,9,276622
idl,9,263696
durat,9,258331
occurr,9,254808
soc,9,253857
index,9,234239
basic,9,230829
magnitud,9,225968
calibr,9,214512
longer,9,198752
immedi,9,196184
prescrib,9,189854
expect,9,183949
deterior,9,179752
sum,9,167180
degrad,9,162088
t,9,159269
firstli,9,153425
equival,9,153334
constraint,9,141193
gain,9,140618
fluctuat,9,139623
economi,9,138427
gradient,9,136706
count,9,129261
consider,9,120343
judgment,9,117928
absolut,9,106492
startup,9,106368
begin,9,101530
wait,9,99998
previou,9,98593
yaw,9,94507
timer,9,94296
disturb,9,91949
thereaft,9,90987
instantan,9,89408
shorter,9,87049
highest,9,86288
restart,9,86242
optimum,9,85664
prohibit,9,83498
ye,9,82143
multipli,9,79042
elaps,9,78751
repeatedli,9,78703
converg,9,76227
lowest,9,75404
decid,9,75292
robust,9,71611
equat,9,70916
subtract,9,70124
critic,9,68432
ideal,9,56792
nonlinear,9,55704
shutdown,9,53486
nomin,9,53474
steadi,9,52642
ascertain,9,51963
iter,9,50861
setpoint,9,49487
instant,9,48572
increment,9,47056
margin,9,44375
arithmet,9,37439
shortag,9,36917
mathemat,9,35519
irrespect,9,34695
secondli,9,33036
theoret,9,30774
trend,9,29428
fuzzi,9,28334
flag,9,27805
quantit,9,26761
erron,9,23841
hysteresi,9,23435
delta,9,22975
cumul,9,22845
startstop,9,21961
awaken,9,21592
preliminari,9,21451
satisfact,9,21430
soh,9,20893
uncertainti,9,20651
stateofcharg,9,19769
resum,9,19498
invalid,9,19013
pi,9,18397
lag,9,18198
earlier,9,17806
vg,9,16615
feedforward,9,16576
theori,9,16158
pid,9,16052
till,9,15988
unchang,9,15871
opencircuit,9,15379
swarm,9,12585
interpol,9,11861
kalman,9,11306
inaccur,9,11182
qualifi,9,11134
varianc,9,11123
laps,9,10973
regress,9,10935
stoppag,9,10838
tobetest,9,10811
tobedetect,9,10664
finit,9,9709
multiobject,9,9264
dormant,9,9236
commenc,9,9231
ocv,9,9184
preliminarili,9,9064
queu,9,8351
judgement,9,7927
mont,9,7753
carlo,9,7745
spacetim,9,7691
steadyst,9,7187
profit,9,6860
peakvalley,9,6857
max,9,6813
td,9,6468
shortterm,9,6465
multitarget,9,6347
dayahead,9,5536
timeofus,9,5425
overshoot,9,5220
bp,9,4944
recurs,9,4905
tt,9,4741
stopstart,9,4501
dormanc,9,4419
decisionmak,9,4210
thirdli,9,4127
corrector,9,4101
markov,9,4017
summat,9,3931
deduc,9,3865
misjudg,9,3014
